Action,Specific point / Chapter,Actor name,Actor Name New,Country,"Affiliation
1) civil society/NGO 2) business organisations 3) consulting 4) government 5) academia 6) personal"
Action 08,Cost contribution arrangements (CCAs),ANIE Federazione Nazionale Imprese Electtrotecniche ed Elettroniche,ANIE Federazione Nazionale Imprese Electtrotecniche ed Elettroniche,italy,2
Action 08,Cost contribution arrangements (CCAs),AstraZeneca,AstraZeneca,Sweden,2
Action 08,Cost contribution arrangements (CCAs),,AstraZeneca,UK,2
Action 08,Cost contribution arrangements (CCAs),BASF,BASF,Germany,2
Action 08,Cost contribution arrangements (CCAs),BDI,BDI,Germany,2
Action 08,Cost contribution arrangements (CCAs),"BEPS Monitoring Group (including Global Alliance for Tax Justice, Red de Justicia Fiscal de America Latina y el Caribe, Tax Justice Network, Christian Aid, Action Aid, Oxfam, and Tax Research UK)",BEPS Monitoring Group (BMG),world,1
Action 08,Cost contribution arrangements (CCAs),BIAC,BIAC,world,2
Action 08,Cost contribution arrangements (CCAs),BusinessEurope,BusinessEurope,europe,2
Action 08,Cost contribution arrangements (CCAs),CBI,CBI (Confederation of British Industry),UK,2
Action 08,Cost contribution arrangements (CCAs),Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),india,2
Action 08,Cost contribution arrangements (CCAs),CINFIS (Centre for International Fiscal Studies S.A.),CINFIS (Centre for International Fiscal Studies S.A.),switzerland,3
Action 08,Cost contribution arrangements (CCAs),CMS Bureau Francis Lefebvre Confederation of Swedish Enterprise,CMS (CMS Bureau Francis Lefebvre),France,3
Action 08,Cost contribution arrangements (CCAs),,Confederation of Swedish Enterprise,Sweden,2
Action 08,Cost contribution arrangements (CCAs),Deloitte LLP,Deloitte,world,3
Action 08,Cost contribution arrangements (CCAs),Deloitte Tax LLP,Deloitte,world,3
Action 08,Cost contribution arrangements (CCAs),"Economics Partners, LLC","Economics Partners, LLC",US,3
Action 08,Cost contribution arrangements (CCAs),Enriqueta Mancilla Rendon and Marcela Astudillo Moya,Enriqueta Mancilla Rendon,Mexico,5
Action 08,Cost contribution arrangements (CCAs),,Marcela Astudillo Moya,Mexico,5
Action 08,Cost contribution arrangements (CCAs),Erste Group Bank AG,Erste Group Bank AG,Austria,2
Action 08,Cost contribution arrangements (CCAs),European Business Initiative on Taxation (EBIT),European Business Initiative on Taxation (EBIT),europe,3
Action 08,Cost contribution arrangements (CCAs),EY,EY,world,3
Action 08,Cost contribution arrangements (CCAs),FIDAL,FIDAL,world,3
Action 08,Cost contribution arrangements (CCAs),FTI Consulting,FTI Consulting,US,3
Action 08,Cost contribution arrangements (CCAs),Grant Thornton,Grant Thornton,world,3
